,name,link,city,medias,styles
256,Cova,https://shotgun.live/fr/venues/cova,Paris,nan,"HOUSE, AFRO HOUSE, AFRO, RAP, HIP HOP, R&B, AFROBEAT, TRAP, DEEP HOUSE, MELODIC HOUSE & TECHNO, ELECTRO HOUSE, TECH HOUSE, TRIBAL HOUSE"
257,KOLORZ,https://shotgun.live/fr/venues/kolorz-festival,Avignon,"{'Instagram': 'https://www.instagram.com/kolorzfestival'}, {'Facebook': 'https://www.facebook.com/KolorzFestival'}","ELECTRO, ACID HOUSE, TECHNO, POP, HIP HOP, HOUSE, AFRO, DISCO, DISCO HOUSE, ACID TECHNO, NEW WAVE"
258,VL.,https://shotgun.live/fr/venues/vl-media,Paris,"{'Instagram': 'https://www.instagram.com/vlmedia_'}, {'TikTok': 'https://www.tiktok.com/@vlmedia'}, {'X': 'https://x.com/vlmedia_'}, {'Facebook': 'https://www.facebook.com/vlmedia2020'}","AFRO HOUSE, DISCO HOUSE, DEEP HOUSE, TECHNO, TECH HOUSE, MELODIC HOUSE & TECHNO, ELECTRO, HOUSE, EDM, DANCEHALL"
259,COACHELLITO,https://shotgun.live/fr/venues/coachellito,Côte D'Azur,"{'Instagram': 'https://www.instagram.com/coachellitoprod'}, {'SoundCloud': 'https://soundcloud.com/chaps-x-coachellito'}, {'Facebook': 'https://www.facebook.com/id=100087959124102'}","TECH HOUSE, DEEP HOUSE, HOUSE, AFRO HOUSE, DEEP TECH, PROGRESSIVE HOUSE, DISCO HOUSE, ELECTRO HOUSE"
260,Magic Tonic,https://shotgun.live/fr/venues/magic-tonic,Angers,"{'Instagram': 'https://www.instagram.com/magictonic_'}, {'Facebook': 'https://www.facebook.com/Magictonicc'}","TECHNO, HARDCORE, HARD TECHNO, HARD GROOVE, HARD TRANCE, ACID TECHNO, TRANCE, HOUSE, TECH HOUSE, RAP, DEEP TECH, DISCO, ITALO DISCO, MINIMAL HOUSE, PROGRESSIVE TRANCE"
261,MICROCLIMAT,https://shotgun.live/fr/venues/microclimat,Paris,"{'Instagram': 'https://www.instagram.com/collectif_microclimat'}, {'SoundCloud': 'https://soundcloud.com/collectifmicroclimat'}, {'Facebook': 'https://www.facebook.com/microclimatparis'}","JUNGLE, BREAKBEAT, DRUM & BASS, HOUSE, ACID HOUSE, TECHNO, DISCO, DOWNTEMPO, ELECTRO"
262,Collectif Munera,https://shotgun.live/fr/venues/collectif-munera,Bordeaux,"{'Instagram': 'https://www.instagram.com/collectifmunera'}, {'YouTube': 'https://www.youtube.com/@@CollectifMunera'}, {'TikTok': 'https://www.tiktok.com/@collectifmunera'}, {'Facebook': 'https://www.facebook.com/collectifmunera'}","HARD TECHNO, HARD GROOVE, TECHNO, HARDCORE, BASS HOUSE, ACID TECHNO, FRENCHCORE, TRANCE, HARDSTYLE, HARD TRANCE"
263,Chez Moune Paris,https://shotgun.live/fr/venues/chez-moune-paris,Paris,"{'Instagram': 'https://www.instagram.com/chezmouneparis'}, {'Facebook': 'https://www.facebook.com/chezmouneparis'}","HOUSE, R&B, HIP HOP, POP, K-POP, FUNK, TECH HOUSE, DEEP HOUSE, DISCO HOUSE, DISCO, ELECTRO, BASS HOUSE, ELECTRO HOUSE, AFRO HOUSE, MINIMAL HOUSE, AFRO, DANCE, RAP, TRAP, POP ROCK, ITALO DISCO, ACID HOUSE"
264,Show Me Events,https://shotgun.live/fr/venues/show-me-events,Paris,"{'Instagram': 'https://www.instagram.com/showme.events'}, {'Facebook': 'https://www.facebook.com/ShowMeEventsFrance'}","TECHNO, HOUSE, TRANCE, HARD GROOVE, HARD TRANCE, HARD TECHNO, SOUL, DEEP HOUSE, DANCEHALL, POP, R&B, HARDCORE, GABBER, NEORAVE, PSYTRANCE, RAP, ELECTRO, TECH HOUSE, HIP HOP, GARAGE, FUNK, PROGRESSIVE HOUSE, PROGRESSIVE TRANCE, MINIMAL HOUSE, MICRO HOUSE, MINIMAL TECHNO, HARDSTYLE, AFRO HOUSE, DARK PSYTRANCE, ACID TECHNO, TRAP, UK GARAGE, JUNGLE, DRUM & BASS, MELODIC HOUSE & TECHNO, DISCO HOUSE, PROGRESSIVE PSYTRANCE, GERMAN TECHNO, DISCO, INDUSTRIAL, BASS, HARDTEK, EURODANCE, ACIDCORE, ELECTRONICA, ACID HOUSE"
265,Bounce Club Marseille,https://shotgun.live/fr/venues/bounce-club-marseille,Marseille,nan,"HIP HOP, AFRO, R&B, SHATTA, RAP, AMAPIANO, DANCEHALL, HARD GROOVE, HARDCORE, TECHNO, AFROBEAT, HOUSE, CLUB, TECH HOUSE, AFRO HOUSE, REGGAE, DEEP HOUSE, DISCO HOUSE, CHICAGO HOUSE"
266,REVES,https://shotgun.live/fr/venues/reves,Paris,{'Instagram': 'https://www.instagram.com/whosparismarais'},"ELECTRO, TRIBAL HOUSE, HOUSE, ELECTRO HOUSE, TECH HOUSE, TECHNO"
267,Techno Is Our Life,https://shotgun.live/fr/venues/techno-is-our-life,Montpellier,"{'Instagram': 'https://www.instagram.com/techno_is_our_life'}, {'Facebook': 'https://www.facebook.com/technoisourlifedj'}","HARDTEK, HARD TECHNO, ELECTRO, TECHNO, ACID TECHNO, ACIDCORE, HARDCORE, TRANCE, HARD TRANCE"
268,KHAOS PARIS,https://shotgun.live/fr/venues/khaos-paris,Paris,"{'Instagram': 'https://www.instagram.com/khaos.paris'}, {'SoundCloud': 'https://soundcloud.com/khaos_paris'}, {'Facebook': 'https://www.facebook.com/khaos.paris'}","TECHNO, GERMAN TECHNO, HYPNOTIC TECHNO, ACIDCORE, ACID TECHNO, TRANCE, INDUSTRIAL TECHNO, HARD GROOVE, HARD TECHNO"
269,Point Éphémère,https://shotgun.live/fr/venues/point-ephemere,Paris,"{'Instagram': 'https://www.instagram.com/pointephemere'}, {'Spotify': 'https://open.spotify.com/user/uvwae0dg5mw9a6q5t2681gvfd'}, {'X': 'https://x.com/PointEphemere'}, {'Facebook': 'https://www.facebook.com/PointEphemere'}","BAILE FUNK, JUNGLE, BASS, HIP HOP, HOUSE, DANCEHALL, RAP, GRIME, TECHNO, REGGAETON, ELECTRO, DISCO, TRANCE, HYPERPOP, POP, JERSEY CLUB, CLASSICAL, CLUB, TRAP, ACIDCORE, EXPERIMENTAL, ALTERNATIVE DANCE, UK GARAGE, DRUM & BASS, GARAGE, DEEP TECH, AFRO, TECH HOUSE, EURODANCE, DEEP HOUSE, ACID TECHNO, DANCE, BREAKBEAT, SYNTHPOP, AFRO HOUSE, AFROBEAT, ELECTRONICA, ROCK, NEW WAVE, PUNK, PROGRESSIVE HOUSE, PROGRESSIVE TRANCE, EBM, DUB TECHNO, DUBSTEP, ITALO DISCO, HARDCORE, GABBER"
270,Sabay Events,https://shotgun.live/fr/venues/sabay-events,Paris,"{'Instagram': 'https://www.instagram.com/asianstreetfood_festival'}, {'YouTube': 'https://www.youtube.com/@sabaysabaytv'}, {'TikTok': 'https://www.tiktok.com/@asianstreetfood_festival'}, {'Facebook': 'https://www.facebook.com/asianstreetfoodfestival.fr'}","EDM, R&B, BAILE FUNK, HIP HOP, POP, K-POP"
271,Agathe Club,https://shotgun.live/fr/venues/agathe-club,Paris,{'Instagram': 'https://www.instagram.com/agatheclub'},"HOUSE, AFRO HOUSE, DEEP HOUSE, MINIMAL HOUSE, TECH HOUSE, ELECTRO, MELODIC HOUSE & TECHNO"
272,surboum,https://shotgun.live/fr/venues/surboum,Bordeaux,"{'Instagram': 'https://www.instagram.com/collectifsurboum'}, {'TikTok': 'https://www.tiktok.com/@surboum'}, {'Facebook': 'https://www.facebook.com/surboum'}","TECHNO, HARDCORE, HARDSTYLE, ELECTRO, HARD GROOVE, HOUSE, HARDTEK, ACIDCORE, ACID TECHNO, FRENCHCORE"
273,DOVER STREET MARKET PARIS,https://shotgun.live/fr/venues/dover-street-market-paris,Paris,{'Instagram': 'https://www.instagram.com/doverstreetmarketparis'},"AMBIENT, ELECTRONICA, SYNTHPOP, EXPERIMENTAL, ELECTRO, DARK WAVE"
274,LE CHINOIS,https://shotgun.live/fr/venues/le-chinois,Montreuil,"{'Instagram': 'https://www.instagram.com/lechinoismontreuil'}, {'Facebook': 'https://www.facebook.com/lechinoisdemontreuil'}","PUNK, ROCK, POP, AFRO, TRANCE, DANCE, FUNK, HOUSE, ELECTRO, JAZZ, BLUES, DRUM & BASS, SAMBA, BAILE FUNK, REGGAETON, CUMBIA, SHATTA, RAP, TRAP, AFROBEAT, DOWNTEMPO, AFRO HOUSE, ACID HOUSE, HARD GROOVE, TECHNO, BASS, ACID TECHNO, BREAKBEAT, EXPERIMENTAL, BASS HOUSE, AMAPIANO, EURODANCE, BRAZILIAN, AXÉ, CLUB, TECH HOUSE, JERSEY CLUB, DISCO, BOSSA NOVA, FOOTWORK, UK GARAGE, SALSA, JUNGLE, GARAGE, PSYCHEDELIC ROCK, DANCEHALL, NOISE, HIP HOP, DRILL, HARDCORE, GABBER, FRENCHCORE, DARK PSYTRANCE, INDIE ROCK, DUBSTEP, POST-PUNK, HARD TECHNO, R&B, DARK WAVE, PROGRESSIVE TRANCE, SOUL, GHETTOTECH, AMBIENT, INDUSTRIAL, PSYTRANCE, BREAKCORE"
275,Belladone Techno,https://shotgun.live/fr/venues/belladone-techno,Paris,"{'Instagram': 'https://www.instagram.com/belladone.techno'}, {'Facebook': 'https://www.facebook.com/belladonetechno'}","ACID TECHNO, TRANCE, HARD TECHNO, TECHNO, GERMAN TECHNO, INDUSTRIAL, HARD TRANCE"
276,Hardsystem,https://shotgun.live/fr/venues/hardsystem,Lyon,"{'Instagram': 'https://www.instagram.com/hardsystemclub'}, {'TikTok': 'https://www.tiktok.com/@hardsystemclub'}, {'Facebook': 'https://www.facebook.com/hardsystemclub'}","HARD TECHNO, HARDCORE, NEORAVE, INDUSTRIAL, GABBER, PSYTRANCE, FRENCHCORE, HARDSTYLE, TECHNO"
277,Silencio Des Prés,https://shotgun.live/fr/venues/silencio-des-pres,Paris,nan,"RAP, HIP HOP, NEW WAVE, AFROBEAT, AFRO, ALTERNATIVE DANCE, DANCE, JERSEY CLUB, SOUL, R&B, AFRO HOUSE, CLUB, INDIE DANCE, MELODIC HOUSE & TECHNO, MINIMAL HOUSE, EXPERIMENTAL, REGGAETON, BAILE FUNK, CUMBIA, HOUSE, TECH HOUSE, DRILL, TRAP, REGGAE, ELECTRO, TECHNO, ACID TECHNO"
278,Stellar Festival,https://shotgun.live/fr/venues/stellar-festival,Poitiers,"{'Instagram': 'https://www.instagram.com/stellar_festival'}, {'Facebook': 'https://www.facebook.com/FestivalStellar'}","HARD GROOVE, HARD TECHNO, TECHNO, ACID TECHNO, HARDTEK, DEEP TECHNO, ELECTRO, INDUSTRIAL TECHNO, ACID"
279,La Rhapsodie,https://shotgun.live/fr/venues/la-rhapsodie,Biarritz,"{'Instagram': 'https://www.instagram.com/rhapsodie.biarritz'}, {'SoundCloud': 'https://soundcloud.com/la-rhapsodie'}, {'Facebook': 'https://www.facebook.com/profile.php'}","RAP, SHATTA, POP, DANCE, HARD TECHNO, TECHNO, AFROBEAT, REGGAETON, ELECTRO, HOUSE, TRANCE, PROGRESSIVE TRANCE, TECH HOUSE, DISCO, DISCO HOUSE, CUMBIA, BASS, DRUM & BASS, DANCEHALL, AFRO, ACIDCORE, CHICAGO HOUSE, ACID TECHNO, ACID HOUSE, JAZZ, MINIMAL HOUSE, FUNK, PSYTRANCE, HIP HOP, EURODANCE, DEEP HOUSE, INDIE DANCE, ITALO DISCO, BAILE FUNK, BLUES, ELECTRO HOUSE, EDM, BREAKBEAT, UK GARAGE, METAL, ROCK, PUNK, EBM, DARK WAVE, POP ROCK, REGGAE, DUB TECHNO, AFRO HOUSE, SOUL, HARD GROOVE, HARDTEK, BASS HOUSE, NEW WAVE"
280,Cocorico Electro Festival,https://shotgun.live/fr/venues/cocorico-electro-festival,La Ferté-Saint-Aubin,"{'Instagram': 'https://www.instagram.com/cocoricoelectro'}, {'YouTube': 'https://www.youtube.com/@@cocoricoelectrococorico8698'}, {'TikTok': 'https://www.tiktok.com/@cocoricoelectro'}, {'Facebook': 'https://www.facebook.com/CocoricoElectro'}","ELECTRO, TECHNO, MELODIC HOUSE & TECHNO, ELECTRO HOUSE"
281,BPM MARS,https://shotgun.live/fr/venues/bpm-mars,Aix-Marseille,{'Instagram': 'https://www.instagram.com/bpm.mars'},"ACIDCORE, HARDTEK, HARDCORE, TRIBE, TECHNO, ACID TECHNO, HARD TECHNO"
282,Sud Spicious,https://shotgun.live/fr/venues/sud-spicious,Côte D'Azur,"{'Instagram': 'https://www.instagram.com/sud.spicious'}, {'Facebook': 'https://www.facebook.com/profile.php'}","HARD GROOVE, HOUSE, MELODIC HOUSE & TECHNO, AFRO HOUSE, TECHNO, PSYTRANCE, TRANCE, HARD TECHNO, INDUSTRIAL, HARD TRANCE, PROGRESSIVE HOUSE, TECH HOUSE, BASS HOUSE"
283,La Petite Halle de la Villette,https://shotgun.live/fr/venues/la-petite-halle-de-la-villette,Paris,"{'Instagram': 'https://www.instagram.com/lapetitehalle'}, {'Facebook': 'https://www.facebook.com/lapetitehalle'}","HARD GROOVE, JAZZ, ELECTRO, ELECTRONICA, DANCE, FUNK, AFROBEAT, TRANCE, AFRO, HOUSE, TECHNO, TRAP, HIP HOP, CLUB, UK GARAGE, JUNGLE, DRUM & BASS, SALSA, SOUL, RAP, POP, R&B, CUMBIA, ROCK, HYPNOTIC TECHNO, EXPERIMENTAL, DISCO, BREAKBEAT, BLUES, POP ROCK, INDIE ROCK, SAMBA, BOSSA NOVA"
284,Azar Club,https://shotgun.live/fr/venues/azar-club,Lyon,"{'Instagram': 'https://www.instagram.com/azarclub'}, {'TikTok': 'https://www.tiktok.com/@uFL7mbXL_z'}","ELECTRO, RAP, R&B, AFRO, CLUB, POP, REGGAETON, HOUSE, DANCE, DISCO, AFROBEAT, AMAPIANO, HIP HOP, DANCEHALL, DEEP HOUSE, AFRO HOUSE, ROCK, DISCO HOUSE, ELECTRONICA, PROGRESSIVE HOUSE, TECH HOUSE, ELECTRO HOUSE, BRAZILIAN, MELODIC HOUSE & TECHNO, TECHNO"
285,CLT,https://shotgun.live/fr/venues/clt,Strasbourg,{'Instagram': 'https://www.instagram.com/cestlateuuf'},"ARABIC HOUSE, FUNK, TRAP, AFRO, AMAPIANO, R&B, HOUSE, BAILE FUNK, HIP HOP, BOUYON, JUNGLE, SHATTA, DRUM & BASS, BASS, UK GARAGE, AFROBEAT, AFRO HOUSE, ALTERNATIVE DANCE, TECH HOUSE, BRAZILIAN, ELECTRO, GRIME, SOUL"
286,BBB,https://shotgun.live/fr/venues/bbb,Paris,{'Instagram': 'https://www.instagram.com/bbb_paris'},"AMAPIANO, DANCEHALL, ARABIC HOUSE, ARABIC POP, AFRO, AFROBEAT, BOUYON, CLUB, AMBIENT, DANCE, AFRO HOUSE, CHICAGO HOUSE, BAILE FUNK, DOWNTEMPO, DRUM & BASS, ALTERNATIVE DANCE"
287,La Relève,https://shotgun.live/fr/venues/la-releve,Lille,{'Instagram': 'https://www.instagram.com/lareleve.lille'},nan
288,DE LA GROOVE,https://shotgun.live/fr/venues/de-la-groove-67ea5192-f2fb-4936-99c7-e28fd213723d,Paris,"{'Instagram': 'https://www.instagram.com/de_la_groove'}, {'SoundCloud': 'https://soundcloud.com/delagr00ve'}, {'Spotify': 'https://open.spotify.com/user/i80gdg2yz9h3ifj9cmofr7n17'}, {'YouTube': 'https://www.youtube.com/@UCNX1lr4hxrUVY2rKAFG_-Og'}, {'TikTok': 'https://www.tiktok.com/@delagroove'}, {'Facebook': 'https://www.facebook.com/1649760585237708'}","DEEP HOUSE, DISCO, HOUSE, ELECTRO, SOUL, DISCO HOUSE, ELECTRO HOUSE, ACID HOUSE, CHICAGO HOUSE, TECH HOUSE, AFRO HOUSE, GARAGE, FUNK, MINIMAL HOUSE, UK GARAGE"
289,EO Events,https://shotgun.live/fr/venues/eo-events,Avignon,"{'Instagram': 'https://www.instagram.com/sextoyclub84'}, {'Facebook': 'https://www.facebook.com/id=100087110275901'}","TECHNO, TECH HOUSE, HOUSE, POP, HARD TECHNO, ELECTRO HOUSE, RAP, ELECTRO, DEEP HOUSE, DEEP TECHNO, DUB TECHNO, MINIMAL TECHNO, AFRO HOUSE, TRIBAL HOUSE, ACID HOUSE, MELODIC HOUSE & TECHNO, ACID TECHNO"
290,Fête de l'Humanité,https://shotgun.live/fr/venues/fete-de-l-humanite,Le Plessis-Pâte,"{'Instagram': 'https://www.instagram.com/fetedelhumanite'}, {'X': 'https://x.com/fetedelhumanite'}, {'Facebook': 'https://www.facebook.com/FetedelHumanite'}","TECHNO, RAP, ELECTRO, HOUSE, POP ROCK"
291,VERTIGO,https://shotgun.live/fr/venues/vertigo,Paris,"{'Instagram': 'https://www.instagram.com/igshid=YmMyMTA2M2Y='}, {'Facebook': 'https://www.facebook.com/vertigoparisevents'}","TECHNO, GERMAN TECHNO, DEEP TECHNO, DUB TECHNO"
292,LES CANAILLES NICE,https://shotgun.live/fr/venues/les-canailles-nice,Nice,{'Instagram': 'https://www.instagram.com/plagelescanailles'},"ELECTRO, ELECTRO HOUSE, HOUSE, AFRO HOUSE, DEEP HOUSE, TECH HOUSE"
293,BÉTON LE HAVRE,https://shotgun.live/fr/venues/beton-le-havre,Le Havre,"{'Instagram': 'https://www.instagram.com/beton_lehavre'}, {'TikTok': 'https://www.tiktok.com/@beton_lehavre'}, {'Facebook': 'https://www.facebook.com/betonlehavre'}","RAP, HIP HOP, ELECTRO, TECHNO, HIP-HOP"
294,FABULOUS FESTIVAL,https://shotgun.live/fr/venues/fabulous-festival,Villemur-Sur-Tarn,"{'Instagram': 'https://www.instagram.com/fabulousfestival'}, {'Spotify': 'https://open.spotify.com/user/31xwamfqa74yaul4l4v4uddtgkvm'}, {'YouTube': 'https://www.youtube.com/@@FabulousFestival'}, {'TikTok': 'https://www.tiktok.com/@fabulousfestival'}, {'Facebook': 'https://www.facebook.com/fabulousfestival'}","TECHNO, HARD TECHNO, HOUSE, DRUM & BASS, HARDCORE"
295,FullBlast Corp,https://shotgun.live/fr/venues/full-blast-corp,Angers,"{'Instagram': 'https://www.instagram.com/fullblast.corp'}, {'Facebook': 'https://www.facebook.com/photos'}","TECHNO, HARDCORE, HARD TECHNO, HARD TRANCE, TRANCE, ACID TECHNO"
296,Punk Paradise,https://shotgun.live/fr/venues/punk-paradise,Paris,"{'Instagram': 'https://www.instagram.com/punkparadise.off'}, {'Facebook': 'https://www.facebook.com/PunkParadise11'}","ARABIC POP, DISCO, HOUSE, DEEP HOUSE, RAP, TRAP, DRILL, AFROBEAT, AFRO, REGGAETON, ITALO DISCO, INDIE DANCE, TECH HOUSE, TECHNO, HARD TECHNO, BRAZILIAN, SHATTA, BAILE FUNK, UK GARAGE, BREAKBEAT, REGGAE, HIP HOP, AFRO HOUSE, TRANCE, PROGRESSIVE HOUSE, FUNK, POP, ROCK, SOUL, ELECTRO, AXÉ, FORRÓ, SAMBA, DANCEHALL, CHICAGO HOUSE, R&B, MPB, ELECTRO HOUSE, GARAGE, INDIE ROCK, PAGODE, CUMBIA, DUB, SALSA, POP ROCK, ELECTRONICA, DARK WAVE, DISCO HOUSE, HARDCORE, JAZZ, POST-PUNK, NEW WAVE, EBM, HARD GROOVE, PUNK, BLUES, PSYTRANCE, ACID TECHNO, HARD TRANCE, CLUB, MINIMAL TECHNO, INDUSTRIAL"
297,Isulia,https://shotgun.live/fr/venues/weareisulia,Bordeaux,"{'Instagram': 'https://www.instagram.com/weareisulia'}, {'SoundCloud': 'https://soundcloud.com/weareisulia'}, {'YouTube': 'https://www.youtube.com/@@weareisulia'}, {'TikTok': 'https://www.tiktok.com/@weareisulia'}, {'Facebook': 'https://www.facebook.com/weareisulia'}","BASS, ELECTRO, HOUSE, ITALO DISCO, EBM, TECHNO, REGGAETON, POST-PUNK"
298,Barta Club,https://shotgun.live/fr/venues/barta-club,Marseille,{'Instagram': 'https://www.instagram.com/barta.marseille'},"MELODIC HOUSE & TECHNO, HOUSE, DEEP HOUSE, TECH HOUSE, AFRO HOUSE, TECHNO, AFRO, PROGRESSIVE HOUSE, DISCO HOUSE, DEEP TECHNO"
299,POPEVENT,https://shotgun.live/fr/venues/popevent,Paris,"{'Instagram': 'https://www.instagram.com/gaypopevent.fr'}, {'Facebook': 'https://www.facebook.com/gaypopevent.fr'}","POP, ELECTRO, DANCE"
300,ADN,https://shotgun.live/fr/venues/adn,Paris,"{'Instagram': 'https://www.instagram.com/adn_rave'}, {'SoundCloud': 'https://soundcloud.com/adn-rave'}, {'YouTube': 'https://www.youtube.com/@@ADNrave'}, {'TikTok': 'https://www.tiktok.com/@adn_rave'}, {'Facebook': 'https://www.facebook.com/profile.php'}",nan
301,La Tête Qui Bouge,https://shotgun.live/fr/venues/la-tete-qui-bouge,Paris,{'Instagram': 'https://www.instagram.com/latetequibouge'},"INDUSTRIAL, HARD TECHNO, TECHNO, HARD GROOVE, HARD TRANCE, TRANCE, HYPNOTIC TECHNO, PSYTRANCE, ACID TECHNO, TECH HOUSE, MELODIC HOUSE & TECHNO"
302,danceteria,https://shotgun.live/fr/venues/danceteria,Aix-Marseille,"{'Instagram': 'https://www.instagram.com/danceteria_marseille'}, {'SoundCloud': 'https://soundcloud.com/danceteria_marseille'}, {'Facebook': 'https://www.facebook.com/danceteria.marseille'}","INDIE DANCE, TECHNO, HARD TECHNO, HOUSE, PROGRESSIVE HOUSE, ACID TECHNO, DISCO, TRIBAL HOUSE, DUB TECHNO, ELECTRO, MICRO HOUSE, MELODIC HOUSE & TECHNO, DEEP HOUSE, DEEP TECH, ITALO DISCO, HARD GROOVE, AFRO HOUSE, EBM, AFRO, AFROBEAT, ACID HOUSE, DISCO HOUSE, FUNK, DETROIT TECHNO, CHICAGO HOUSE, HYPNOTIC TECHNO, MINIMAL TECHNO, DRUM & BASS, HARDTEK, HARDCORE, TECH HOUSE, INDUSTRIAL, EURODANCE, JAZZ, HARD TRANCE, MINIMAL HOUSE, BREAKBEAT"
303,SKYLAX,https://shotgun.live/fr/venues/skylax,Paris,"{'Instagram': 'https://www.instagram.com/skylaxrecords'}, {'SoundCloud': 'https://soundcloud.com/hardrockstriker'}, {'Spotify': 'https://open.spotify.com/user/whrfq402n125g20zf9p542i2c'}, {'YouTube': 'https://www.youtube.com/@@skylaxrecords'}, {'TikTok': 'https://www.tiktok.com/@skylaxrecords'}, {'X': 'https://x.com/skylaxrecords'}, {'Facebook': 'https://www.facebook.com/skylaxrecords'}","TECHNO, DEEP HOUSE, TECH HOUSE, HOUSE, ELECTRO, ITALO DISCO, TRANCE, INDIE DANCE"
304,La Kermesse Festival,https://shotgun.live/fr/venues/la-kermesse-festival,Côte D'Azur,"{'Instagram': 'https://www.instagram.com/lakermesse.fstvl'}, {'Facebook': 'https://www.facebook.com/lakermessefstvl'}","ELECTRO, TECHNO, DEEP TECHNO, DANCE, DISCO, FUNK"
305,ENCASA,https://shotgun.live/fr/venues/encasa,Marseille,"{'Instagram': 'https://www.instagram.com/encasamusic'}, {'SoundCloud': 'https://soundcloud.com/encasamusic'}, {'TikTok': 'https://www.tiktok.com/@encasamusic'}, {'Facebook': 'https://www.facebook.com/encasamusic'}","TECH HOUSE, MINIMAL HOUSE, LATIN HOUSE, TECHNO, DISCO HOUSE, HOUSE, DEEP TECH, CHICAGO HOUSE, AFRO HOUSE, ELECTRO, MELODIC HOUSE & TECHNO, HARD TECHNO, ACID TECHNO"
306,Cel Paris,https://shotgun.live/fr/venues/cel-paris,Paris,{'Instagram': 'https://www.instagram.com/cel.paris'},"POP, HIP HOP, AFRO HOUSE, DEEP HOUSE, MELODIC HOUSE & TECHNO, R&B"
307,Touquet Music Beach Festival,https://shotgun.live/fr/venues/touquet-music-beach-festival,Amiens,"{'Instagram': 'https://www.instagram.com/touquetmusicbeachfestival'}, {'Facebook': 'https://www.facebook.com/tmbfestival'}","TRANCE, AFRO HOUSE, HOUSE, TECHNO, DISCO HOUSE, MELODIC HOUSE & TECHNO, ELECTRO HOUSE, EDM"
308,WILD BUZZ AGENCY,https://shotgun.live/fr/venues/wildbuzzagency,Paris,{'Instagram': 'https://www.instagram.com/hl=fr'},"DEEP HOUSE, AFRO HOUSE, TECH HOUSE, ITALO DISCO, INDIE DANCE, HOUSE, MINIMAL HOUSE, MICRO HOUSE, ACID HOUSE, UK GARAGE, HIP HOP, AFRO, BASS HOUSE, DRUM & BASS, AMAPIANO, BAILE FUNK, BALEARIC, DISCO, CHICAGO HOUSE, EBM, TRANCE, MINIMAL TECHNO, FUNK, PROGRESSIVE HOUSE, DISCO HOUSE, ELECTRO HOUSE, HARD GROOVE, ELECTRO, MELODIC HOUSE & TECHNO, AFROBEAT, TECHNO"
309,B2S events,https://shotgun.live/fr/venues/b-2-s-events,Paris,"{'Instagram': 'https://www.instagram.com/b2s_events'}, {'SoundCloud': 'https://soundcloud.com/b2s-muzik'}, {'TikTok': 'https://www.tiktok.com/@b2s_events'}, {'X': 'https://x.com/b2s_events'}, {'Facebook': 'https://www.facebook.com/b2seventsparis'}","BOUYON, SHATTA, DANCEHALL, ZOUK, R&B, AFROBEAT, AMAPIANO, HIP HOP, DANCE, AFRO, POP, TRAP"
310,Cheri Cheri Paris,https://shotgun.live/fr/venues/cheri-cheri-paris,Paris,{'Instagram': 'https://www.instagram.com/chericheriparis'},"AFROBEAT, AFRO HOUSE, AFRO, AMAPIANO, SHATTA, FUNK, TRAP, POP, DANCEHALL, HOUSE, R&B, TRIBAL HOUSE, ELECTRO, ELECTRO HOUSE, CLUB, DISCO, DANCE, TECHNO, K-POP, MINIMAL HOUSE, TECH HOUSE, REGGAETON, SALSA"
311,StereOrganic Productions,https://shotgun.live/fr/venues/stereorganic-productions,Paris,"{'Instagram': 'https://www.instagram.com/stereorganic'}, {'SoundCloud': 'https://soundcloud.com/stereorganic'}, {'YouTube': 'https://www.youtube.com/@@stereorganic'}, {'TikTok': 'https://www.tiktok.com/@stereorganic'}, {'X': 'https://x.com/stereorganic'}, {'Facebook': 'https://www.facebook.com/stereorganic'}","TECHNO, TRANCE, HARD GROOVE, ACID TECHNO, PSYTRANCE, HARD TECHNO, ACIDCORE, NEORAVE, DARK PSYTRANCE, MINIMAL TECHNO, AFRO HOUSE, DANCEHALL, HARD TRANCE, PROGRESSIVE PSYTRANCE, PROGRESSIVE TRANCE"
312,EuroGames Lyon 2025,https://shotgun.live/fr/venues/euro-games-lyon-2025,Lyon,{'Instagram': 'https://www.instagram.com/eurogameslyon2025'},"POP, ELECTRO, EURODANCE"
313,FUTUR,https://shotgun.live/fr/venues/futur,Rennes,"{'Instagram': 'https://www.instagram.com/futur.events.fr'}, {'TikTok': 'https://www.tiktok.com/@futur.events.fr'}, {'Facebook': 'https://www.facebook.com/Futur-Orga'}","HARD TECHNO, TECHNO, TRANCE, HARD GROOVE, AFRO HOUSE, INDUSTRIAL, TECH HOUSE"
314,Le Loft Metropolis,https://shotgun.live/fr/venues/le-loft-metropolis,Rungis,"{'Instagram': 'https://www.instagram.com/loft.metropolis.paris'}, {'YouTube': 'https://www.youtube.com/@loftmetropolisparis'}, {'TikTok': 'https://www.tiktok.com/@loftmetropolisparis'}","RAP, ELECTRO, SHATTA, HOUSE, EDM, AFRO HOUSE, AFRO, POP, REGGAETON, HIP HOP, DANCE, R&B, AFROBEAT, CLUB"
