,name,link,city,medias,styles
10,DELTA FESTIVAL,https://shotgun.live/fr/venues/delta-festival,Marseille,"{'Instagram': 'https://www.instagram.com/delta_festival'}, {'TikTok': 'https://www.tiktok.com/@deltafestival'}, {'Facebook': 'https://www.facebook.com/DeltaFestivalOfficiel'}","ELECTRO, AFRO, TECHNO, POP, HOUSE, EURODANCE, ELECTRO HOUSE, TRANCE, ITALO DISCO, HARD TECHNO, TECH HOUSE, AFRO HOUSE, RAP, AFROBEAT, BAILE FUNK, INDIE DANCE, HARD TRANCE"
11,DEEP DIMANCHE,https://shotgun.live/fr/venues/deep-dimanche,Paris,"{'Instagram': 'https://www.instagram.com/deep.dimanche'}, {'TikTok': 'https://www.tiktok.com/@deep.dimanche'}","HOUSE, DEEP HOUSE, AFRO HOUSE, DISCO, TECH HOUSE, AFRO, DISCO HOUSE, ELECTRO"
12,La Machine du Moulin Rouge,https://shotgun.live/fr/venues/la-machine-du-moulin-rouge,Paris,"{'Instagram': 'https://www.instagram.com/lamachineparis'}, {'TikTok': 'https://www.tiktok.com/@lamachinedumoulinrouge'}, {'Facebook': 'https://www.facebook.com/106149749438924'}","HOUSE, ROCK, POP ROCK, INDIE ROCK, ELECTRO, TECHNO, HARD TECHNO, BAILE FUNK, FUNK, REGGAETON, AMAPIANO, SHATTA, AFROBEAT, RAP, TRANCE, EURODANCE, BASS, POP, R&B, DANCEHALL, INDUSTRIAL, EDM, EBM, NEW WAVE, RIDDIM, BREAKBEAT, UK GARAGE, DUBSTEP, TRAP, POST-PUNK, DEEP TECHNO, EXPERIMENTAL, AFRO HOUSE"
13,JEUDI OK,https://shotgun.live/fr/venues/jeudi-ok,Paris,"{'Instagram': 'https://www.instagram.com/jeudiok'}, {'TikTok': 'https://www.tiktok.com/@jeudiok'}, {'Facebook': 'https://www.facebook.com/jeudiok'}","POP, R&B, HYPERPOP, TECHNO, ELECTRO, TRANCE, BASS, JERSEY CLUB, GHETTOTECH, DUB TECHNO, ACID TECHNO, DEEP TECHNO, HYPNOTIC TECHNO, HARD GROOVE, HOUSE, EURODANCE"
14,MARVELLOUS ISLAND FESTIVAL,https://shotgun.live/fr/venues/marvellous-island,Paris,"{'Instagram': 'https://www.instagram.com/marvellousisland'}, {'Facebook': 'https://www.facebook.com/marvellous.island.festival'}","TECHNO, HOUSE, TRANCE, AFRO HOUSE, DEEP TECHNO, DETROIT TECHNO, DISCO HOUSE, DOWNTEMPO"
15,Slalom,https://shotgun.live/fr/venues/slalom-lille,Lille,"{'Instagram': 'https://www.instagram.com/slalom.lille'}, {'SoundCloud': 'https://soundcloud.com/slalom_lille'}, {'TikTok': 'https://www.tiktok.com/@slalom.lille'}, {'X': 'https://x.com/slalom_lille'}, {'Facebook': 'https://www.facebook.com/slalom.lille'}","TECHNO, HARD TECHNO, HARDSTYLE, HARD TRANCE, RAP, TRAP, HIP HOP, POP, REGGAETON, HARD GROOVE, ACID TECHNO, ELECTRO, TRANCE, PSYTRANCE, AFRO, INDUSTRIAL, HARDCORE, NEORAVE, GABBER, AFROBEAT, DANCEHALL, EURODANCE, BASS HOUSE, BASS, DISCO, HOUSE, DANCE, EDM, R&B, EBM, SYNTHPOP, PROGRESSIVE TRANCE, BAILE FUNK, UK GARAGE, DRUM & BASS"
16,ORGANÏK,https://shotgun.live/fr/venues/organik,Paris,"{'Instagram': 'https://www.instagram.com/organikevent'}, {'SoundCloud': 'https://soundcloud.com/organikparis'}, {'YouTube': 'https://www.youtube.com/@organikevent'}, {'TikTok': 'https://www.tiktok.com/@organikevent'}, {'Facebook': 'https://www.facebook.com/169200360446243'}","HARD TECHNO, TRANCE, HARD TRANCE, TECHNO, HARD GROOVE, HARDCORE, INDUSTRIAL, PSYTRANCE, ELECTRO, ACID TECHNO, DEEP TECHNO"
17,FVTVR,https://shotgun.live/fr/venues/fvtvr,Paris,{'Instagram': 'https://www.instagram.com/fvtvr_paris'},"ACID HOUSE, DISCO HOUSE, HOUSE, TECHNO, DETROIT TECHNO, MINIMAL TECHNO, DEEP TECHNO, GERMAN TECHNO, ELECTRO, DISCO, DUB TECHNO, EURODANCE, PSYTRANCE, TRANCE, DEEP HOUSE, TECH HOUSE, HYPNOTIC TECHNO, MINIMAL HOUSE, ELECTRO HOUSE, HARD GROOVE, GHETTOTECH, BASS, PROGRESSIVE HOUSE, HARD TRANCE, HARD TECHNO, DEEP TECH, ACID TECHNO, ALTERNATIVE DANCE, CLUB, MICRO HOUSE, MELODIC HOUSE & TECHNO, REGGAE, HIP HOP, AFROBEAT, ELECTRONICA, ITALO DISCO, POP, DANCE, RAP, BAILE FUNK, AFRO, EXPERIMENTAL, EBM"
18,SACRÉ,https://shotgun.live/fr/venues/sacre,Paris,"{'Instagram': 'https://www.instagram.com/sacre142'}, {'SoundCloud': 'https://soundcloud.com/sacreradio'}, {'Facebook': 'https://www.facebook.com/sacre142'}","HOUSE, KWAITO, AFRO HOUSE, FOOTWORK, AFRO, BASS, ITALO DISCO, MICRO HOUSE, TECHNO, ACID HOUSE, DEEP HOUSE, TECH HOUSE, UK GARAGE, EDM, AMAPIANO, AFROBEAT, GHETTOTECH, CHICAGO HOUSE, NEW WAVE, DISCO, BREAKBEAT, MELODIC HOUSE & TECHNO, FUNK, DISCO HOUSE, HIP HOP, R&B, RAP, DANCE, ELECTRO, EURODANCE, GARAGE, ELECTRO HOUSE, TRAP, CLUB, SOUL, PROGRESSIVE HOUSE, BASS HOUSE"
19,LA MEZ,https://shotgun.live/fr/venues/la-mez,Aix-Marseille,nan,"DANCEHALL, AFROBEAT, BOUYON, R&B, SOUL, POP, ELECTRONIC, HOUSE"
